iter	Passed	Remaining
0	50	25443
1	51	12728
2	51	8489
3	51	6371
4	51	5099
5	51	4252
6	51	3643
7	51	3186
8	51	2831
9	51	2546
10	52	2313
11	52	2119
12	52	1955
13	52	1814
14	52	1693
15	52	1586
16	52	1492
17	52	1409
18	52	1334
19	52	1266
20	52	1205
21	52	1149
22	52	1098
23	53	1052
24	53	1009
25	53	969
26	53	933
27	53	899
28	53	867
29	53	837
30	53	810
31	53	784
32	53	759
33	53	736
34	53	715
35	53	694
36	53	675
37	54	657
38	54	639
39	54	623
40	54	607
41	54	592
42	54	578
43	54	565
44	54	552
45	54	539
46	54	527
47	54	516
48	54	505
49	54	494
50	55	484
51	55	474
52	55	465
53	55	456
54	55	447
55	55	439
56	55	431
57	55	424
58	55	416
59	55	409
60	55	402
61	56	395
62	56	389
63	56	383
64	56	377
65	56	371
66	56	365
67	56	359
68	56	354
69	56	349
70	56	344
71	57	339
72	57	334
73	57	329
74	57	324
75	57	320
76	57	316
77	57	311
78	57	307
79	57	303
80	57	299
81	58	295
82	58	292
83	58	288
84	58	284
85	58	281
86	58	277
87	58	274
88	58	271
89	58	267
90	58	264
91	59	261
92	59	258
93	59	255
94	59	252
95	59	250
96	59	247
97	59	244
98	59	241
99	59	239
100	59	236
101	59	233
102	60	231
103	60	228
104	60	226
105	60	223
106	60	221
107	60	219
108	60	216
109	60	214
110	60	212
111	60	210
112	60	208
113	60	205
114	60	203
115	60	201
116	61	199
117	61	197
118	61	195
119	61	193
120	61	191
121	61	190
122	61	188
123	61	186
124	61	184
125	61	182
126	61	181
127	61	179
128	61	177
129	61	176
130	62	174
131	62	173
132	62	171
133	62	170
134	62	168
135	62	167
136	62	165
137	62	164
138	62	163
139	62	161
140	62	160
141	62	158
142	63	157
143	63	156
144	63	154
145	63	153
146	63	152
147	63	150
148	63	149
149	63	148
150	63	147
151	63	145
152	63	144
153	63	143
154	63	142
155	64	141
156	64	140
157	64	138
158	64	137
159	64	136
160	64	135
161	64	134
162	64	133
163	64	132
164	64	131
165	64	130
166	64	129
167	64	128
168	64	127
169	64	126
170	65	125
171	65	124
172	65	123
173	65	122
174	65	121
175	65	120
176	65	119
177	65	118
178	65	117
179	65	116
180	65	115
181	65	115
182	65	114
183	66	113
184	66	112
185	66	111
186	66	110
187	66	110
188	66	109
189	66	108
190	66	107
191	66	106
192	66	106
193	66	105
194	66	104
195	66	103
196	66	103
197	67	102
198	67	101
199	67	100
200	67	100
201	67	99
202	67	98
203	67	97
204	67	97
205	67	96
206	67	95
207	67	95
208	67	94
209	67	93
210	67	93
211	68	92
212	68	91
213	68	91
214	68	90
215	68	89
216	68	89
217	68	88
218	68	87
219	68	87
220	68	86
221	68	86
222	68	85
223	68	84
224	69	84
225	69	83
226	69	83
227	69	82
228	69	81
229	69	81
230	69	80
231	69	80
232	69	79
233	69	79
234	69	78
235	69	78
236	69	77
237	69	77
238	70	76
239	70	75
240	70	75
241	70	74
242	70	74
243	70	73
244	70	73
245	70	72
246	70	72
247	70	71
248	70	71
249	70	70
250	70	70
251	71	69
252	71	69
253	71	68
254	71	68
255	71	67
256	71	67
257	71	67
258	71	66
259	71	66
260	71	65
261	71	65
262	71	64
263	72	64
264	72	63
265	72	63
266	72	63
267	72	62
268	72	62
269	72	61
270	72	61
271	72	60
272	72	60
273	72	60
274	73	59
275	73	59
276	73	58
277	73	58
278	73	58
279	73	57
280	73	57
281	73	56
282	73	56
283	73	56
284	73	55
285	74	55
286	74	55
287	74	54
288	74	54
289	74	53
290	74	53
291	74	53
292	74	52
293	74	52
294	74	51
295	74	51
296	74	51
297	75	50
298	75	50
299	75	50
300	75	49
301	75	49
302	75	49
303	75	48
304	75	48
305	75	48
306	75	47
307	75	47
308	76	47
309	76	46
310	76	46
311	76	46
312	76	45
313	76	45
314	76	44
315	76	44
316	76	44
317	76	43
318	76	43
319	77	43
320	77	42
321	77	42
322	77	42
323	77	42
324	77	41
325	77	41
326	77	41
327	77	40
328	77	40
329	77	40
330	78	39
331	78	39
332	78	39
333	78	38
334	78	38
335	78	38
336	78	38
337	78	37
338	78	37
339	78	37
340	78	36
341	79	36
342	79	36
343	79	35
344	79	35
345	79	35
346	79	35
347	79	34
348	79	34
349	79	34
350	79	33
351	79	33
352	80	33
353	80	33
354	80	32
355	80	32
356	80	32
357	80	31
358	80	31
359	80	31
360	80	31
361	80	30
362	80	30
363	81	30
364	81	30
365	81	29
366	81	29
367	81	29
368	81	28
369	81	28
370	81	28
371	81	28
372	81	27
373	81	27
374	81	27
375	82	27
376	82	26
377	82	26
378	82	26
379	82	25
380	82	25
381	82	25
382	82	25
383	82	24
384	82	24
385	82	24
386	82	24
387	83	23
388	83	23
389	83	23
390	83	23
391	83	22
392	83	22
393	83	22
394	83	22
395	83	21
396	83	21
397	83	21
398	83	21
399	83	20
400	84	20
401	84	20
402	84	20
403	84	20
404	84	19
405	84	19
406	84	19
407	84	19
408	84	18
409	84	18
410	85	18
411	85	18
412	85	17
413	85	17
414	85	17
415	85	17
416	85	17
417	85	16
418	85	16
419	85	16
420	86	16
421	86	15
422	86	15
423	86	15
424	86	15
425	86	15
426	86	14
427	86	14
428	86	14
429	86	14
430	86	13
431	87	13
432	87	13
433	87	13
434	87	13
435	87	12
436	87	12
437	87	12
438	87	12
439	87	11
440	87	11
441	87	11
442	87	11
443	88	11
444	88	10
445	88	10
446	88	10
447	88	10
448	88	10
449	88	9
450	88	9
451	88	9
452	88	9
453	89	9
454	89	8
455	89	8
456	89	8
457	89	8
458	89	7
459	89	7
460	89	7
461	89	7
462	89	7
463	89	6
464	89	6
465	89	6
466	90	6
467	90	6
468	90	5
469	90	5
470	90	5
471	90	5
472	90	5
473	90	4
474	90	4
475	90	4
476	90	4
477	91	4
478	91	3
479	91	3
480	91	3
481	91	3
482	91	3
483	91	3
484	91	2
485	91	2
486	91	2
487	91	2
488	92	2
489	92	1
490	92	1
491	92	1
492	92	1
493	92	1
494	92	0
495	92	0
496	92	0
497	92	0
498	92	0
499	92	0
